"adverts"	"sales"	"airplay"	"attract"	"standardized.residuals"	"cooks.distance"	"leverage"	"covariance.ratios"
10.256	330	43	10	2.17740408238376	0.0587038820601721	0.0471905256041176	0.971274990874465
985.685	120	28	7	-2.32308277865479	0.010889432250004	0.00800653614388486	0.920183161882535
1445.563	360	35	7	1.46880155150533	0.0114006598735151	0.0207004268326442	0.997110046029348
1188.193	270	33	7	0.15011595417913	7.16647752750389e-05	0.0125609455385696	1.03317954411211
574.513	220	44	5	-0.123798339400865	0.000102542254772175	0.02606531913255	1.04765952741322
568.954	170	19	5	0.618259706722786	0.00137734732445165	0.0142084487679076	1.02732899107411
471.814	70	20	1	-0.487199936015884	0.00594368005574005	0.0910425709585452	1.11747349262025
537.352	210	22	9	0.367864063669775	0.000723022760966566	0.0209244210538313	1.03960847348369
514.068	200	21	7	0.738553073717988	0.000949037320273818	0.00691142892819751	1.01638118180106
174.093	300	40	7	2.13028877629469	0.017756471647924	0.0154097375251316	0.943920028238616
1720.806	290	32	7	-0.319744223777781	0.000822628958468825	0.0311817775186297	1.05132542683934
611.479	70	20	2	-0.983761456896548	0.0165706870451775	0.0640989388536731	1.0691952311083
251.192	150	24	8	-0.303943032342755	0.00030491808334148	0.0130305426438538	1.03219830969254
97.972	190	38	6	0.296024763240558	0.00039040114005947	0.0175082958150029	1.0370031851905
406.814	240	24	7	1.56941085719703	0.00404109572488715	0.00651996057735666	0.976692775199662
265.398	100	25	5	-0.760350902747362	0.00220723260538647	0.0150417301594072	1.02408581720183
1323.287	250	35	5	-0.193991157566532	0.000271341757664908	0.0280326674387055	1.04930223049055
196.65	210	36	8	0.214062126849983	0.000177621136022401	0.0152683760457131	1.03552782884093
1326.598	280	27	8	0.308675463238701	0.000468790422668152	0.0193005827455528	1.03873611474731
1380.689	230	33	8	-1.29613466785239	0.00879595665381044	0.020513569717939	1.0067773820149
792.345	210	33	7	-0.412813277128784	0.000281014687482528	0.00655279361480061	1.02383501367743
957.167	230	28	6	0.310636708667537	0.000229105513983761	0.00940773152125799	1.02833695690351
1789.659	320	30	9	-0.132587801758032	0.00020620247805619	0.044816066883942	1.06817648785057
656.137	210	34	7	-0.238197464109592	9.19189222102307e-05	0.00643851034007177	1.02609634204309
613.697	230	49	7	-0.81740121749181	0.00353087257334893	0.0207007881239351	1.02810731579319
313.362	250	40	8	0.569956017414313	0.00129915328533617	0.0157450951187292	1.03014099316676
336.51	60	20	4	-1.15432436061867	0.00885810825494096	0.0259028485401902	1.01960839372634
1544.899	330	42	7	0.138723509894971	0.000141278581443543	0.0285276899801682	1.05023101812104
68.954	150	35	8	-0.766925027368024	0.00265527395416672	0.0177374463040484	1.02668528716543
785.692	150	8	6	0.353068141980635	0.000619513345686614	0.0194914865458454	1.03831532634895
125.628	180	49	7	-1.00486682411326	0.00716322927373881	0.0275930606993985	1.02817022808987
377.925	80	19	8	-1.67107462673116	0.00981839372065441	0.0138689435696497	0.977288815361538
217.994	180	42	6	-0.425452501733132	0.000880644609543048	0.0190892128081339	1.03669563605922
759.862	130	6	7	-0.122376141021559	8.68226864003399e-05	0.0226643589147281	1.04402131231232
1163.444	320	36	6	1.2868832083995	0.00673590750615073	0.0160091726446616	1.00266173674482
842.957	280	32	7	1.05894605451941	0.0018782219935752	0.00665517185858633	1.00419584492116
125.179	200	28	6	1.17868012405303	0.00403569694875922	0.0114860164714599	1.00356547914986
236.598	130	25	8	-0.776968169283152	0.00198650767005037	0.0129916588057332	1.02142446651166
669.811	190	34	8	-0.926730060695945	0.00208433822473842	0.00961448361664509	1.01263493162944
612.234	150	21	6	-0.268394159841974	0.000136453272290642	0.00752003001397858	1.02689375082856
922.019	230	34	7	-0.293187794729172	0.000175933523637629	0.00812036947702865	1.02722323160082
50	310	63	7	0.932612717034218	0.0134436897327232	0.0582267002983648	1.06466612993389
2000	340	31	7	0.322846060579219	0.00125429691456108	0.0459252737582339	1.06752830802436
1054.027	240	25	7	0.327622187010335	0.000262022886410284	0.00967013382305009	1.02838175916679
385.045	180	42	7	-0.964639160763298	0.00325590938683103	0.0138027715945792	1.01544172399764
1507.972	220	37	7	-1.79672215946824	0.0196754560301943	0.0237991866644364	0.978354630822182
102.568	40	25	8	-2.46099615091923	0.024115187915313	0.0156771225009426	0.914580003870202
204.568	190	26	7	0.727229349923477	0.00118518278634097	0.00888437442900026	1.01875039979749
1170.918	290	39	7	0.177306664730252	0.00012004215967882	0.0150439036463146	1.03559586649705
689.547	340	46	7	1.61839251439261	0.0109766705487585	0.0164870509918282	0.98341070920878
784.22	250	36	6	0.476037817828142	0.000591403979862987	0.0103312101866438	1.02656465347425
405.913	190	12	4	2.0994462133587	0.0331591773716575	0.0292131323618115	0.95995328236074
179.778	120	2	8	0.777882213750878	0.00596431778662484	0.0379314211469338	1.04787242806091
607.258	230	29	8	0.399348783813427	0.000359948937353323	0.00894731846752315	1.0265380056017
1542.329	190	33	8	-2.45591293513707	0.040415896570736	0.0261035198243146	0.924857996988595
1112.47	210	28	7	-0.634270083414593	0.00105194015272133	0.0103510342099634	1.02290515466294
